STATE,COUNTY,CASES
Alabama,Autauga,7
Alabama,Baldwin,18
Alabama,Bibb,2
Alabama,Blount,5
Alabama,Bullock,3
Alabama,Butler,1
Alabama,Calhoun,9
Alabama,Chambers,36
Alabama,Cherokee,2
Alabama,Chilton,10
Alabama,Choctaw,2
Alabama,Clay,2
Alabama,Cleburne,5
Alabama,Colbert,4
Alabama,Coosa,4
Alabama,Covington,2
Alabama,Crenshaw,1
Alabama,Cullman,8
Alabama,Dallas,2
Alabama,DeKalb,4
Alabama,Elmore,13
Alabama,Escambia,1
Alabama,Etowah,6
Alabama,Fayette,1
Alabama,Franklin,3
Alabama,Greene,3
Alabama,Hale,1
Alabama,Houston,9
Alabama,Jackson,7
Alabama,Jefferson,257
Alabama,Lamar,1
Alabama,Lauderdale,12
Alabama,Lawrence,3
Alabama,Lee,74
Alabama,Limestone,20
Alabama,Lowndes,1
Alabama,Macon,1
Alabama,Madison,96
Alabama,Marengo,4
Alabama,Marion,9
Alabama,Marshall,7
Alabama,Mobile,45
Alabama,Monroe,1
Alabama,Montgomery,29
Alabama,Morgan,19
Alabama,Pickens,3
Alabama,Pike,4
Alabama,Randolph,2
Alabama,Russell,1
Alabama,Shelby,88
Alabama,St. Clair,14
Alabama,Sumter,1
Alabama,Talladega,6
Alabama,Tallapoosa,12
Alabama,Tuscaloosa,28
Alabama,Walker,31
Alabama,Washington,3
Alabama,Wilcox,2
Alabama,Winston,2
Alaska,Anchorage,61
Alaska,Fairbanks North Star Borough,31
Alaska,Juneau City and Borough,5
Alaska,Kenai Peninsula Borough,7
Alaska,Ketchikan Gateway Borough,13
Alaska,Matanuska-Susitna Borough,2
Arizona,Apache,17
Arizona,Cochise,4
Arizona,Coconino,73
Arizona,Gila,1
Arizona,Graham,2
Arizona,Greenlee,1
Arizona,La Paz,2
Arizona,Maricopa,690
Arizona,Mohave,7
Arizona,Navajo,88
Arizona,Pima,187
Arizona,Pinal,64
Arizona,Santa Cruz,2
Arizona,Unknown,0
Arizona,Yavapai,19
Arizona,Yuma,12
Arkansas,Arkansas,2
Arkansas,Ashley,1
Arkansas,Baxter,2
Arkansas,Benton,38
Arkansas,Boone,1
Arkansas,Bradley,4
Arkansas,Chicot,2
Arkansas,Clark,24
Arkansas,Cleburne,58
Arkansas,Cleveland,5
Arkansas,Columbia,2
Arkansas,Conway,2
Arkansas,Craighead,8
Arkansas,Crawford,2
Arkansas,Crittenden,17
Arkansas,Cross,2
Arkansas,Desha,2
Arkansas,Drew,2
Arkansas,Faulkner,36
Arkansas,Garland,31
Arkansas,Grant,3
Arkansas,Greene,4
Arkansas,Hempstead,1
Arkansas,Hot Spring,4
Arkansas,Howard,3
Arkansas,Independence,3
Arkansas,Jefferson,33
Arkansas,Johnson,3
Arkansas,Lawrence,1
Arkansas,Lincoln,6
Arkansas,Lonoke,4
Arkansas,Nevada,1
Arkansas,Newton,1
Arkansas,Perry,1
Arkansas,Pike,2
Arkansas,Poinsett,5
Arkansas,Polk,2
Arkansas,Pope,5
Arkansas,Pulaski,99
Arkansas,Randolph,2
Arkansas,Saline,8
Arkansas,Searcy,4
Arkansas,Sebastian,6
Arkansas,Sevier,2
Arkansas,St. Francis,1
Arkansas,Stone,5
Arkansas,Union,8
Arkansas,Unknown,2
Arkansas,Van Buren,20
Arkansas,Washington,18
Arkansas,White,9
Arkansas,Woodruff,1
California,Alameda,304
California,Alpine,1
California,Amador,2
California,Butte,8
California,Calaveras,3
California,Colusa,1
California,Contra Costa,187
California,El Dorado,15
California,Fresno,53
California,Glenn,2
California,Humboldt,21
California,Imperial,33
California,Inyo,8
California,Kern,76
California,Kings,3
California,Los Angeles,2474
California,Madera,21
California,Marin,99
California,Mendocino,4
California,Merced,9
California,Mono,13
California,Monterey,36
California,Napa,15
California,Nevada,18
California,Orange,464
California,Placer,57
California,Riverside,291
California,Sacramento,223
California,San Benito,17
California,San Bernardino,111
California,San Diego,603
California,San Francisco,374
California,San Joaquin,136
California,San Luis Obispo,77
California,San Mateo,309
California,Santa Barbara,88
California,Santa Clara,848
California,Santa Cruz,45
California,Shasta,6
California,Siskiyou,3
California,Solano,48
California,Sonoma,73
California,Stanislaus,33
California,Sutter,9
California,Tulare,43
California,Tuolumne,1
California,Ventura,126
California,Yolo,24
California,Yuba,6
Colorado,Adams,153
Colorado,Alamosa,1
Colorado,Arapahoe,308
Colorado,Archuleta,1
Colorado,Baca,1
Colorado,Boulder,100
Colorado,Broomfield,18
Colorado,Chaffee,15
Colorado,Clear Creek,3
Colorado,Costilla,3
Colorado,Crowley,1
Colorado,Delta,1
Colorado,Denver,465
Colorado,Douglas,121
Colorado,Eagle,213
Colorado,El Paso,245
Colorado,Elbert,4
Colorado,Fremont,2
Colorado,Garfield,31
Colorado,Grand,4
Colorado,Gunnison,80
Colorado,Hinsdale,1
Colorado,Huerfano,1
Colorado,Jefferson,253
Colorado,Kit Carson,1
Colorado,La Plata,21
Colorado,Larimer,92
Colorado,Lincoln,1
Colorado,Logan,5
Colorado,Mesa,12
Colorado,Mineral,1
Colorado,Moffat,4
Colorado,Montezuma,1
Colorado,Montrose,10
Colorado,Morgan,4
Colorado,Otero,3
Colorado,Park,4
Colorado,Phillips,1
Colorado,Pitkin,29
Colorado,Pueblo,21
Colorado,Rio Grande,4
Colorado,Routt,16
Colorado,San Miguel,1
